gameName,url,2020-4-29,2020-4-28,2020-4-27,2020-4-26,2020-4-25,2020-4-24,2020-4-23,2020-4-22,2020-4-21,2020-4-20,2020-4-19,2020-4-18,2020-4-17,2020-4-16,2020-4-15,2020-4-14,2020-4-13,2020-4-12,2020-4-11,2020-4-10,2020-4-9,2020-4-8,2020-4-7,2020-4-6,2020-4-5,2020-4-4,2020-4-3,2020-4-2,2020-4-1,2020-3-31
PLAYERUNKNOWN'S BATTLEGROUNDS,https://steamcdn-a.akamaihd.net/steam/apps/578080/header.jpg?t=1587582005,499,878,584,696,1334,564,500,507,462,789,492,510,486,471,501,482,508,467,518,485,403,413,1125,778,766,773,709,732,590,0
Alien: Isolation,https://steamcdn-a.akamaihd.net/steam/apps/214490/header.jpg?t=1587920608,7,7,8,5,7,9,9,6,9,9,5,9,11,11,6,8,8,13,15,8,8,8,14,13,10,16,57,342,296,0
无主之地3,https://steamcdn-a.akamaihd.net/steam/apps/397540/header.jpg?t=1587675179,320,295,276,243,289,244,201,177,152,145,163,163,167,140,117,121,98,101,117,121,88,110,82,141,150,176,227,217,164,0
Remnant: From the Ashes,https://steamcdn-a.akamaihd.net/steam/apps/617290/header.jpg?t=1586895275,11,11,13,9,13,12,13,17,16,16,14,12,19,12,19,20,27,24,22,24,17,22,18,18,12,18,25,27,73,0
无主之地3,https://steamcdn-a.akamaihd.net/steam/apps/397540/header.jpg?t=1587675179,320,295,276,243,289,244,201,177,152,145,163,163,167,140,117,121,98,101,117,121,88,110,82,141,150,176,227,217,174,0
Grand Theft Auto V,https://steamcdn-a.akamaihd.net/steam/apps/271590/header.jpg?t=1586539531,2122,1615,1339,1346,1485,1145,1138,1084,1121,1068,982,976,986,1005,967,1057,1001,912,917,954,874,903,858,854,858,843,760,848,624,0
Total War™: ROME II - Emperor Edition,https://steamcdn-a.akamaihd.net/steam/apps/214950/header.jpg?t=1588000236,32,26,26,35,33,27,28,21,24,22,17,29,22,40,25,18,24,18,26,21,23,21,25,16,16,16,24,30,24,0
Red Dead Redemption 2,https://steamcdn-a.akamaihd.net/steam/apps/1174180/header.jpg?t=1583253547,190,187,253,237,214,190,192,160,156,156,187,160,152,164,149,133,130,142,150,140,170,152,151,126,140,139,181,155,121,0
MORDHAU,https://steamcdn-a.akamaihd.net/steam/apps/629760/header_alt_assets_0.jpg?t=1585244772,66,110,102,59,67,70,48,49,63,43,121,76,61,59,52,55,50,57,58,48,50,60,47,50,48,45,55,49,48,0
Disco Elysium,https://steamcdn-a.akamaihd.net/steam/apps/632470/header.jpg?t=1588001802,108,81,98,94,129,111,97,92,71,60,72,70,71,74,51,39,55,58,40,65,30,51,35,21,35,54,70,67,53,0
HYPERCHARGE: Unboxed,https://steamcdn-a.akamaihd.net/steam/apps/523660/header_alt_assets_0.jpg?t=1588039524,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,3,1,3,5,2,2,8,54,0
Green Hell,https://steamcdn-a.akamaihd.net/steam/apps/815370/header.jpg?t=1586347791,8,10,13,8,23,15,15,80,127,178,206,192,190,209,156,174,151,119,123,120,104,118,113,68,76,86,89,70,53,0
Football Manager 2020,https://steamcdn-a.akamaihd.net/steam/apps/1100600/header.jpg?t=1584981392,52,44,54,43,37,44,37,40,41,35,35,23,25,28,38,23,39,35,32,26,32,23,27,29,22,33,29,29,20,0
Total War Saga: THRONES OF BRITANNIA,https://steamcdn-a.akamaihd.net/steam/apps/712100/header.jpg?t=1587999746,8,5,4,5,6,9,3,6,2,5,2,7,3,2,5,5,3,4,7,1,4,4,4,5,5,4,8,7,6,0
Tabletop Simulator,https://steamcdn-a.akamaihd.net/steam/apps/286160/header.jpg?t=1587678573,45,55,54,90,117,127,116,126,97,103,117,109,78,89,66,59,63,82,77,90,44,48,62,70,60,63,73,57,31,0
DOOM Eternal,https://steamcdn-a.akamaihd.net/steam/apps/782330/header.jpg?t=1585834350,923,739,672,658,667,602,489,408,362,380,376,373,366,306,261,270,247,230,238,257,208,210,196,174,153,177,206,141,97,0
Total War: Shogun 2 - Blood Pack DLC,https://steamcdn-a.akamaihd.net/steam/apps/201272/header.jpg?t=1571754133,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Half-Life: Alyx,https://steamcdn-a.akamaihd.net/steam/apps/546560/header.jpg?t=1584985275,666,578,485,395,483,435,363,269,248,283,273,309,308,271,190,165,151,169,206,195,125,122,119,116,113,133,147,128,65,0
Phantom Doctrine,https://steamcdn-a.akamaihd.net/steam/apps/559100/header.jpg?t=1582018402,0,1,0,1,0,2,4,1,0,0,0,0,3,1,2,2,2,0,4,3,1,1,2,0,0,0,0,4,1,0
